Date,Laptops,LCDs,LEDs,PCs,Mouses,Keyboards,GPUs,Speakers,Microphones,Cables
01/07/24,11,48,12,34,46,29,38,31,42,33
02/07/24,5,26,33,24,4,19,42,2,47,30
03/07/24,42,45,10,49,45,40,28,49,8,45
04/07/24,36,36,42,1,45,35,32,10,21,21
05/07/24,32,43,19,27,32,13,27,35,6,7
06/07/24,14,32,44,39,15,46,48,3,13,42
07/07/24,46,46,5,2,13,35,25,31,15,48
08/07/24,47,43,36,7,14,3,15,29,32,32
09/07/24,21,22,34,17,15,31,12,38,28,32
10/07/24,32,4,47,19,30,41,9,4,8,14
11/07/24,15,25,38,16,18,25,49,4,7,0
12/07/24,42,29,24,20,46,25,17,18,19,24
13/07/24,2,15,49,41,17,13,17,14,7,43
14/07/24,17,35,44,39,16,2,41,34,8,9
15/07/24,6,23,44,14,31,3,45,16,28,47
16/07/24,48,43,44,18,3,33,12,7,25,25
17/07/24,23,30,26,17,35,8,25,20,9,25
18/07/24,29,49,2,27,34,15,39,12,21,10
19/07/24,35,9,36,25,46,7,22,33,40,2
20/07/24,10,49,41,49,2,17,32,30,32,1
21/07/24,42,19,43,17,44,7,49,14,18,3
22/07/24,30,44,34,36,36,6,49,45,9,22
23/07/24,14,17,47,22,42,34,24,37,30,13
24/07/24,16,24,21,6,48,12,17,49,16,36
25/07/24,4,12,42,43,15,8,4,45,24,45
26/07/24,28,39,13,1,31,32,7,35,26,1
27/07/24,2,13,30,25,11,40,40,26,2,46
28/07/24,34,26,23,0,1,44,48,44,27,47
29/07/24,14,37,46,32,7,44,12,11,43,29
30/07/24,13,34,26,16,47,5,33,20,39,27
31/07/24,10,19,21,44,30,37,46,41,18,43
